"Date","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted","SPY.Open.1","SPY.High.1","SPY.Low.1","SPY.Close.1","SPY.Volume.1","SPY.Adjusted.1","SPY.Open.2","SPY.High.2","SPY.Low.2","SPY.Close.2","SPY.Volume.2","SPY.Adjusted.2","SPY.Open.3","SPY.High.3","SPY.Low.3","SPY.Close.3","SPY.Volume.3","SPY.Adjusted.3"
"2007-01-05",2007-01-05,142.25,142.86,140.38,140.54,241073500,121.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007-01-12",2007-01-12,140.82,143.24,140.25,143.24,329610500,123.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.43000000000001,0.379999999999995,-0.129999999999995,2.70000000000002,88537000,2.33000000000001
"2007-01-19",2007-01-19,143.07,143.46,142.31,142.82,220263000,123.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,0.219999999999999,2.06,-0.420000000000016,-109347500,-0.359999999999999
"2007-01-26",2007-01-26,143.07,143.98,141.58,142.13,310992100,122.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.519999999999982,-0.72999999999999,-0.689999999999998,90729100,-0.600000000000009
"2007-02-02",2007-02-02,142.19,144.95,141.74,144.81,347310200,125,NA,NA,NA,NA,NA,NA,-0.0600000000000023,2.08999999999997,1.36000000000001,4.27000000000001,106236700,3.68000000000001,-0.879999999999995,0.969999999999999,0.159999999999997,2.68000000000001,36318100,2.31
"2007-02-09",2007-02-09,144.7,145.36,143.39,143.94,308181700,124.25,NA,NA,NA,NA,NA,NA,3.88,2.12,3.13999999999999,0.699999999999989,-21428800,0.599999999999994,2.50999999999999,0.410000000000025,1.64999999999998,-0.870000000000005,-39128500,-0.75
"2007-02-16",2007-02-16,143.94,145.95,143.19,145.73,274335200,125.8,NA,NA,NA,NA,NA,NA,0.870000000000005,2.48999999999998,0.879999999999995,2.91,54072200,2.50999999999999,-0.759999999999991,0.589999999999975,-0.199999999999989,1.78999999999999,-33846500,1.55
"2007-02-23",2007-02-23,145.56,146.42,145,145.3,271917000,125.43,NA,NA,NA,NA,NA,NA,2.49000000000001,2.44,3.41999999999999,3.17000000000002,-39075100,2.74000000000001,1.62,0.469999999999999,1.81,-0.429999999999978,-2418200,-0.36999999999999
"2007-03-02",2007-03-02,145.83,145.95,138.05,138.67,896598200,119.7,NA,NA,NA,NA,NA,NA,3.64000000000001,1,-3.69,-6.14000000000001,549288000,-5.3,0.27000000000001,-0.469999999999999,-6.94999999999999,-6.63000000000002,624681200,-5.73
"2007-03-09",2007-03-09,137.93,141.42,137.33,140.78,627885300,121.52,NA,NA,NA,NA,NA,NA,-6.76999999999998,-3.94000000000003,-6.05999999999997,-3.16,319703600,-2.73,-7.90000000000001,-4.53,-0.719999999999999,2.11000000000001,-268712900,1.81999999999999
"2007-03-16",2007-03-16,140.42,141.34,136.75,138.53,756793400,120.06,NA,NA,NA,NA,NA,NA,-3.52000000000001,-4.60999999999999,-6.44,-7.19999999999999,482458200,-5.73999999999999,2.48999999999998,-0.0799999999999841,-0.580000000000013,-2.25,128908100,-1.45999999999999
"2007-03-23",2007-03-23,139.26,143.81,139.15,143.39,524036300,124.27,NA,NA,NA,NA,NA,NA,-6.30000000000001,-2.60999999999999,-5.84999999999999,-1.91000000000003,252119300,-1.16000000000001,-1.16,2.47,2.40000000000001,4.85999999999999,-232757100,4.20999999999999
"2007-03-30",2007-03-30,143.5,143.65,140.56,142,634186800,123.06,1.25,0.789999999999992,0.180000000000007,1.46000000000001,393113300,1.74000000000001,-2.33000000000001,-2.29999999999998,2.50999999999999,3.33000000000001,-262411400,3.36,4.24000000000001,-0.159999999999997,1.41,-1.38999999999999,110150500,-1.20999999999999
